"name";"url";"prc";"num";"var";"cat";"relp";"vimg";"cur";"imgs";"shdesc";"desc";"addcats"
"Медаль спортивная с лентой двухцветная Каратэ, 65 мм";"medal-sportivnaia-s-lentoi-dvuhtsvetnaia-karate-65-mm";"35.00000";"C-7026-1";"1 место";"Виды спорта";"";"ea4b4c3e8f5d11c874f07c1eda6879fc.jpg";"5";"8ecf1653d6271888abaf1f69a90e6fda2.jpg";"<p>Материал: метал.</p>
<p>Лента сине-желтая в комплекте.</p>
<p>Вес: 56&nbsp;грамм,</p>
<p>Диаметр: 6,5 см.</p>";"";"Другое/НАГРАДЫ/Медали"
"Медаль спортивная с лентой двухцветная Каратэ, 65 мм";"medal-sportivnaia-s-lentoi-dvuhtsvetnaia-karate-65-mm";"35.00000";"C-7026-1";"2 место";"Виды спорта";"";"54a740d3dfdaacd14cad0c666e5c9b5c.jpg";"5";"8ecf1653d6271888abaf1f69a90e6fda2.jpg";"<p>Материал: метал.</p>
<p>Лента сине-желтая в комплекте.</p>
<p>Вес: 56&nbsp;грамм,</p>
<p>Диаметр: 6,5 см.</p>";"";"Другое/НАГРАДЫ/Медали"
"Медаль спортивная с лентой двухцветная Каратэ, 65 мм";"medal-sportivnaia-s-lentoi-dvuhtsvetnaia-karate-65-mm";"35.00000";"C-7026-1";"3 место";"Виды спорта";"";"073c39249b5c346bd8de088ca8b096a0.jpg";"5";"8ecf1653d6271888abaf1f69a90e6fda2.jpg";"<p>Материал: метал.</p>
<p>Лента сине-желтая в комплекте.</p>
<p>Вес: 56&nbsp;грамм,</p>
<p>Диаметр: 6,5 см.</p>";"";"Другое/НАГРАДЫ/Медали"
"Перчатки тхэквондо WT";"perchatki-thekvondo-wt";"220.00000";"TWTF7715xs";"XS";"Виды спорта";"";"6f135598cca05aa61d31a6bc25a30472.jpg";"5";"9a22271156b81e9103810e420a873ebb.jpg";"";"<p>Перчатки для занятий тхэквондо WT. Запястье фиксируется застежкой-липучкой. Обеспечивают хорошую защиту.&nbsp;</p>
<p>Материал: PU<br />Цвет: белый<br />Размеры:&nbsp;XS, S, M, L.</p>";"Виды спорта/Тхэквондо WT/Перчатки для тхэквондо WT|Перчатки/Тхэквондо WT перчатки"
"Перчатки тхэквондо WT";"perchatki-thekvondo-wt";"220.00000";"TWTF7715s";"S";"Виды спорта";"";"3da3b80d554afe0d7ef074b146bed853.jpg";"5";"9a22271156b81e9103810e420a873ebb.jpg";"";"<p>Перчатки для занятий тхэквондо WT. Запястье фиксируется застежкой-липучкой. Обеспечивают хорошую защиту.&nbsp;</p>
<p>Материал: PU<br />Цвет: белый<br />Размеры:&nbsp;XS, S, M, L.</p>";"Виды спорта/Тхэквондо WT/Перчатки для тхэквондо WT|Перчатки/Тхэквондо WT перчатки"
"Перчатки тхэквондо WT";"perchatki-thekvondo-wt";"220.00000";"TWTF7715m";"M";"Виды спорта";"";"9c353fbb6ef9c16e7840cbe05082e9e0.jpg";"5";"9a22271156b81e9103810e420a873ebb.jpg";"";"<p>Перчатки для занятий тхэквондо WT. Запястье фиксируется застежкой-липучкой. Обеспечивают хорошую защиту.&nbsp;</p>
<p>Материал: PU<br />Цвет: белый<br />Размеры:&nbsp;XS, S, M, L.</p>";"Виды спорта/Тхэквондо WT/Перчатки для тхэквондо WT|Перчатки/Тхэквондо WT перчатки"
"Перчатки тхэквондо WT";"perchatki-thekvondo-wt";"220.00000";"TWTF7715L";"L";"Виды спорта";"";"a41556533bcbaa64befcd0bdb494f417.jpg";"5";"9a22271156b81e9103810e420a873ebb.jpg";"";"<p>Перчатки для занятий тхэквондо WT. Запястье фиксируется застежкой-липучкой. Обеспечивают хорошую защиту.&nbsp;</p>
<p>Материал: PU<br />Цвет: белый<br />Размеры:&nbsp;XS, S, M, L.</p>";"Виды спорта/Тхэквондо WT/Перчатки для тхэквондо WT|Перчатки/Тхэквондо WT перчатки"
"TWINS - оригинал,  Макивара тай-пэд из натуральной кожи (1шт)";"makivara-tai-ped-iz-naturalnoi-kozhi-1sht-twins-original-r-r-m-18x38x5sm";"2950.00000";"bo-20516";"Черная    L   -      20x41x6см";"Виды спорта";"";"b891eaa8ad478e339c0d5b0c676caa8a.jpg";"5";"fa756d135e2b95694a95c61a66b44f95.jpg|5dee76ee0345413158c86f905ff6fca3.jpg|014d3612cb3cc07cc5dee6a3eac225d9.jpg|09f56fc96cd69950adb67e4943a21487.jpg|0a368fdf7ecd90eeef23ee2e820d6015.jpg|c6cec9c1eee00042692093f6a58eac65.jpg|d148eea59099b204a196b465efa56e07.jpg|149362495a6713b7c71526806550e1cf.jpg|265bace6d01393370e799f4e52a4ff75.jpg|f456b64e28b98a4364010579efb71968.jpg|db1b2ed688a698da242a8f6323de00f9.jpg|a1e85bc1d6e109584b0353007a02e802.jpg|ac7015f6b9c21855554a1c8a04bee623.jpg|5b3004d7b0bf4465ac2ff93a4c16e343.jpg|94d23575d68abac965ac9fcfb57e9410.jpg|1b25d82bb08aa17dd58c2724a34ea68f.jpg";"";"";"Другое/Тайские педы для ног (Пады Муай Тай)"
"TWINS - оригинал,  Макивара тай-пэд из натуральной кожи (1шт)";"makivara-tai-ped-iz-naturalnoi-kozhi-1sht-twins-original-r-r-m-18x38x5sm";"2950.00000";"bo-20514";"Красная   L      -     20x41x6см";"Виды спорта";"";"78d51917f65e2bdb358af9f0884edff1.jpg";"5";"fa756d135e2b95694a95c61a66b44f95.jpg|5dee76ee0345413158c86f905ff6fca3.jpg|014d3612cb3cc07cc5dee6a3eac225d9.jpg|09f56fc96cd69950adb67e4943a21487.jpg|0a368fdf7ecd90eeef23ee2e820d6015.jpg|c6cec9c1eee00042692093f6a58eac65.jpg|d148eea59099b204a196b465efa56e07.jpg|149362495a6713b7c71526806550e1cf.jpg|265bace6d01393370e799f4e52a4ff75.jpg|f456b64e28b98a4364010579efb71968.jpg|db1b2ed688a698da242a8f6323de00f9.jpg|a1e85bc1d6e109584b0353007a02e802.jpg|ac7015f6b9c21855554a1c8a04bee623.jpg|5b3004d7b0bf4465ac2ff93a4c16e343.jpg|94d23575d68abac965ac9fcfb57e9410.jpg|1b25d82bb08aa17dd58c2724a34ea68f.jpg";"";"";"Другое/Тайские педы для ног (Пады Муай Тай)"
"TWINS - оригинал,  Макивара тай-пэд из натуральной кожи (1шт)";"makivara-tai-ped-iz-naturalnoi-kozhi-1sht-twins-original-r-r-m-18x38x5sm";"2950.00000";"bo-20515";"Синяя    L    -      20x41x6см";"Виды спорта";"";"ba457d8652726d6365aac9db8ee3b640.jpg";"5";"fa756d135e2b95694a95c61a66b44f95.jpg|5dee76ee0345413158c86f905ff6fca3.jpg|014d3612cb3cc07cc5dee6a3eac225d9.jpg|09f56fc96cd69950adb67e4943a21487.jpg|0a368fdf7ecd90eeef23ee2e820d6015.jpg|c6cec9c1eee00042692093f6a58eac65.jpg|d148eea59099b204a196b465efa56e07.jpg|149362495a6713b7c71526806550e1cf.jpg|265bace6d01393370e799f4e52a4ff75.jpg|f456b64e28b98a4364010579efb71968.jpg|db1b2ed688a698da242a8f6323de00f9.jpg|a1e85bc1d6e109584b0353007a02e802.jpg|ac7015f6b9c21855554a1c8a04bee623.jpg|5b3004d7b0bf4465ac2ff93a4c16e343.jpg|94d23575d68abac965ac9fcfb57e9410.jpg|1b25d82bb08aa17dd58c2724a34ea68f.jpg";"";"";"Другое/Тайские педы для ног (Пады Муай Тай)"
